"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J18,J15,J14,J7";"PinSocket_1x06_P1.27mm_Vertical";4;"Conn_01x06_Female";;;
2;"J17";"PinHeader_1x07_P2.54mm_Vertical";1;"VCC";;;
3;"J16";"PinHeader_1x07_P2.54mm_Vertical";1;"GND";;;
4;"J13,J12,J11,J10,J9,J8,J6,J5,J4,J3,J2,J1";"PinHeader_1x04_P2.54mm_Vertical";12;"Conn_01x04_Female";;;
5;"D190,D7,D32,D69,D36,D129,D155,D132,D227,D28,D58,D181,D163,D204,D235,D11,D164,D84,D38,D225,D186,D191,D1,D120,D18,D184,D171,D65,D26,D57,D195,D97,D168,D179,D72,D220,D143,D8,D112,D255,D252,D60,D165,D148,D35,D210,D152,D105,D150,D228,D238,D153,D248,D200,D250,D211,D182,D122,D128,D202,D223,D208,D6,D149,D2,D118,D70,D170,D131,D147,D61,D175,D139,D240,D127,D50,D205,D154,D90,D229,D16,D251,D41,D124,D3,D46,D206,D162,D13,D207,D233,D103,D83,D29,D123,D55,D87,D231,D62,D116,D31,D88,D161,D85,D215,D203,D101,D10,D27,D114,D253,D82,D109,D236,D226,D232,D74,D67,D33,D140,D71,D66,D104,D209,D78,D136,D99,D102,D111,D135,D37,D241,D53,D15,D4,D100,D187,D56,D24,D166,D249,D68,D224,D158,D246,D75,D119,D198,D176,D9,D137,D43,D63,D174,D92,D185,D142,D193,D40,D244,D94,D243,D216,D156,D14,D239,D177,D245,D230,D222,D51,D167,D76,D138,D77,D23,D81,D172,D213,D247,D146,D44,D79,D145,D126,D256,D42,D107,D160,D95,D242,D52,D221,D117,D108,D110,D86,D30,D54,D197,D183,D237,D234,D22,D188,D80,D254,D5,D196,D113,D219,D73,D25,D214,D141,D91,D159,D89,D199,D144,D39,D189,D106,D212,D180,D96,D45,D20,D21,D157,D218,D64,D19,D133,D17,D173,D115,D48,D47,D151,D49,D93,D34,D169,D192,D130,D134,D98,D194,D125,D178,D12,D121,D59,D217,D201";"LED_0201_0603Metric NOTEXT";256;"LED";;;
6;"R12,R7,R2,R9,R11,R6,R8,R13,R10,R3,R5,R1,R4,R15,R14,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";16;"220";;;
7;"U4,U1,U3,U2";"SOIC-16W_5.3x10.2mm_P1.27mm";4;"74HC595";;;
8;"TP3";"TestPoint_Plated_Hole_D2.0mm";1;"UPDI";;;
9;"SW2,SW3,SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";3;"SW_Push";;;
10;"TP2";"TestPoint_Plated_Hole_D2.0mm";1;"GND";;;
11;"U5";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias";1;"ATtiny3217-M";;;
12;"TP1";"TestPoint_Plated_Hole_D2.0mm";1;"VCC";;;
